symbol,trade_date,open_price,high_price,low_price,close_price,volume
SOFI,2026-02-18,19.47,20.01,19.225,19.54,59588800
SOFI,2026-02-19,19.33,19.48,18.97,19.3,53391100
SOFI,2026-02-20,19.085,19.19,18.515,19.02,68549800
SOFI,2026-02-23,18.73,18.755,17.58,18.22,82932900
SOFI,2026-02-24,18.0,18.71,17.89,18.66,62839300
SOFI,2026-02-25,19.28,19.62,18.93,19.29,67462500
SOFI,2026-02-26,19.19,19.56,18.97,19.1,69888000
SOFI,2026-02-27,18.16,18.21,17.31,17.76,115602700
SOFI,2026-03-02,17.145,18.41,16.8,18.39,74612700
SOFI,2026-03-03,18.0,19.04,17.69,18.61,71879300
SOFI,2026-03-04,19.06,19.28,18.61,18.7,62745900
SOFI,2026-03-05,18.65,19.48,18.64,19.25,68834400
SOFI,2026-03-06,18.485,19.245,18.12,18.9,76383800
SOFI,2026-03-09,18.33,18.945,17.77,18.79,75562800
SOFI,2026-03-10,18.92,19.025,18.04,18.29,62077100
SOFI,2026-03-11,18.39,18.85,17.97,18.53,59435000
SOFI,2026-03-12,18.22,18.55,17.62,17.7,63114900
SOFI,2026-03-13,17.8,18.15,17.53,17.76,56401650
AMD,2026-02-17,202.15,205.3,194.83,203.08,33712100
AMD,2026-02-18,198.41,203.2,195.0,200.12,35664100
AMD,2026-02-19,200.11,204.1,198.29,203.37,25842300
AMD,2026-02-20,200.12,204.87,198.56,200.15,36317300
AMD,2026-02-23,198.09,199.38,194.15,196.6,28187900
AMD,2026-02-24,211.63,216.71,206.5,213.84,81367000
AMD,2026-02-25,214.82,216.7,210.33,210.86,44588100
AMD,2026-02-26,208.8,209.79,201.46,203.68,35020500
AMD,2026-02-27,200.11,201.89,197.74,200.21,31312400
AMD,2026-03-02,193.85,198.74,190.0,198.62,34120200
AMD,2026-03-03,191.46,193.64,188.22,190.95,37785700
AMD,2026-03-04,192.12,202.44,189.86,202.07,40912600
AMD,2026-03-05,197.77,203.79,194.88,199.45,36000700
AMD,2026-03-06,195.27,200.24,191.25,192.43,33913800
AMD,2026-03-09,189.36,202.97,189.02,202.68,38877200
AMD,2026-03-10,202.51,206.59,202.2,203.23,29139200
AMD,2026-03-11,205.11,209.21,203.63,204.83,23076400
AMD,2026-03-12,202.83,203.62,196.67,197.74,28886900
AMD,2026-03-13,198.115,199.68,192.27,193.39,27561888
NFLX,2026-02-17,76.92,77.87,75.3,77.0,35961500
NFLX,2026-02-18,77.32,78.32,76.28,77.99,29883100
NFLX,2026-02-19,77.75,78.7,76.59,77.0,30139200
NFLX,2026-02-20,76.61,78.85,76.4,78.67,32411300
NFLX,2026-02-23,77.79,77.83,75.01,76.02,38363000
NFLX,2026-02-24,75.73,78.12,75.21,78.04,33079100
NFLX,2026-02-25,79.43,83.12,79.25,82.7,69319300
NFLX,2026-02-26,83.2,86.5,82.8,84.59,85642500
NFLX,2026-02-27,94.3,96.75,90.58,96.24,200767000
NFLX,2026-03-02,95.26,98.07,95.2,97.09,79915400
NFLX,2026-03-03,96.01,98.46,95.33,97.7,59149000
NFLX,2026-03-04,97.11,99.75,96.99,98.66,52604300
NFLX,2026-03-05,98.5,100.19,98.1,99.17,53403000
NFLX,2026-03-06,99.33,99.88,97.4,99.02,41196300
NFLX,2026-03-09,97.7,98.94,96.58,98.32,48589000
NFLX,2026-03-10,97.81,98.49,96.29,96.94,41027200
NFLX,2026-03-11,97.41,98.0,94.69,94.89,33962900
NFLX,2026-03-12,94.86,95.4,93.87,94.31,34206900
NFLX,2026-03-13,94.55,95.6797,94.24,95.31,29876659
PYPL,2026-02-17,40.3777,41.4744,40.2481,40.6868,20342500
PYPL,2026-02-18,40.6469,41.6339,40.4675,41.3249,17925500
PYPL,2026-02-19,40.9809,41.6639,40.7267,41.604,24646900
PYPL,2026-02-20,41.4495,42.6808,41.3877,41.5243,23174000
PYPL,2026-02-23,40.9211,45.5521,40.4027,43.917,75619500
PYPL,2026-02-24,43.3637,47.8551,42.9001,46.8781,58557200
PYPL,2026-02-25,47.237,48.3536,46.3048,47.1772,42794100
PYPL,2026-02-26,47.3566,47.5859,44.3607,45.3926,48091800
PYPL,2026-02-27,45.6717,46.2799,45.2829,46.0705,23641200
PYPL,2026-03-02,44.6847,45.8163,44.5053,45.4923,17355300
PYPL,2026-03-03,44.595,46.8182,44.5252,46.24,22406400
PYPL,2026-03-04,46.05,47.33,45.93,46.75,14612800
PYPL,2026-03-05,46.485,47.915,46.485,47.64,18317700
PYPL,2026-03-06,47.17,47.73,46.355,46.97,15900100
